ax,ay,az,gx,gy,gz
1.44,-0.81,8.32,0.12,-0.09,-0.16
1.37,-1.02,8.08,0.16,-0.06,-0.12
1.33,-1.24,7.87,0.19,-0.01,-0.14
1.16,-0.60,8.58,0.21,0.04,-0.11
1.25,-1.08,8.90,0.20,0.06,-0.12
1.25,-0.20,9.37,0.15,0.05,-0.12
1.05,-0.52,9.38,0.07,0.04,-0.10
1.02,-0.11,9.26,0.03,0.03,-0.08
1.04,-0.27,9.20,-0.00,0.03,-0.05
1.11,-0.67,9.13,-0.01,0.05,-0.03
1.15,-1.10,9.12,-0.02,0.07,-0.03
1.01,-1.25,9.41,-0.03,0.09,-0.05
0.95,-0.59,9.94,-0.02,0.09,-0.03
1.00,-0.89,10.13,-0.01,0.08,-0.01
0.97,-1.09,10.11,0.01,0.07,-0.01
0.76,-1.37,10.26,0.02,0.06,-0.01
0.66,-1.53,10.29,0.04,0.04,-0.03
0.68,-1.35,10.27,0.05,0.03,-0.04
0.72,-1.07,10.27,0.04,0.01,-0.04
0.84,-1.24,10.23,0.03,-0.00,-0.04
0.74,-1.35,10.33,0.03,-0.02,-0.03
0.75,-1.64,10.08,0.04,-0.03,-0.04
0.77,-1.55,9.88,0.04,-0.03,-0.06
0.95,-1.20,9.65,0.02,-0.04,-0.07
1.00,-1.08,9.82,-0.01,-0.04,-0.06
0.96,-1.05,9.54,-0.04,-0.04,-0.07
0.87,-0.67,9.67,-0.06,-0.05,-0.06
0.82,-0.90,9.58,-0.07,-0.05,-0.05
0.85,-0.76,9.45,-0.05,-0.04,-0.04
0.96,-0.48,9.57,-0.04,-0.04,-0.03
0.98,-0.60,9.34,-0.05,-0.04,-0.01
0.79,-0.64,9.38,-0.05,-0.04,0.01
0.73,-1.25,9.39,-0.03,-0.04,0.02
0.82,-1.21,9.57,-0.00,-0.05,0.00
0.89,-1.37,9.53,0.03,-0.05,0.01
0.85,-1.46,9.29,0.07,-0.05,-0.01
0.73,-1.44,9.41,0.09,-0.05,-0.02
0.77,-1.07,9.26,0.10,-0.04,-0.02
0.87,-1.18,9.29,0.08,-0.03,-0.02
0.74,-1.12,9.41,0.04,-0.02,-0.02
0.60,-1.19,9.46,0.01,-0.02,-0.02
0.56,-1.23,9.48,-0.00,-0.02,-0.02
0.61,-1.28,9.51,0.00,-0.02,-0.03
0.63,-1.08,9.39,-0.01,-0.02,-0.03
0.63,-1.30,9.40,-0.03,-0.03,-0.03
0.57,-1.57,9.43,-0.04,-0.03,-0.05
0.72,-1.14,9.34,-0.05,-0.03,-0.06
0.91,-1.59,8.83,-0.05,-0.03,-0.07
0.96,-1.08,8.99,-0.06,-0.02,-0.08
0.84,-1.22,8.93,-0.05,-0.01,-0.07
0.84,-0.89,9.07,-0.04,0.00,-0.07
0.88,-0.62,9.09,-0.05,0.00,-0.05
0.99,-1.17,9.18,-0.06,-0.00,-0.06
0.95,-1.05,9.33,-0.07,-0.01,-0.07
1.05,-1.27,9.16,-0.05,-0.01,-0.08
1.02,-0.99,9.07,-0.00,0.00,-0.09
1.16,-0.93,9.25,0.06,0.02,-0.07
1.31,-0.76,9.58,0.11,0.04,-0.05
1.41,-0.89,9.69,0.12,0.04,-0.04
1.33,-0.98,9.69,0.07,0.04,-0.04
1.53,-0.28,9.77,-0.02,0.05,-0.04
1.83,-0.62,9.29,-0.09,0.06,-0.07
2.01,-0.39,9.64,-0.09,0.07,-0.04
1.81,-1.36,10.00,-0.07,0.08,-0.02
1.76,-0.57,9.71,-0.06,0.08,-0.02
1.49,-0.50,10.32,-0.08,0.08,0.02
1.33,-0.88,10.35,-0.10,0.06,0.02
1.41,-1.25,10.81,-0.10,0.03,0.04
1.31,-1.80,10.72,-0.10,0.00,-0.01
1.25,-1.28,10.60,-0.10,-0.02,0.00
1.28,-1.55,10.20,-0.06,-0.04,-0.01
1.40,-1.05,10.14,-0.01,-0.05,0.00
1.51,-1.53,9.95,0.04,-0.05,0.01
1.44,-1.02,9.82,0.07,-0.04,0.03
1.26,-1.29,9.66,0.08,-0.04,0.04
1.32,-1.44,9.91,0.08,-0.05,0.03
1.58,-1.39,9.92,0.06,-0.04,0.02
1.65,-1.27,9.68,0.04,-0.04,0.01
1.77,-1.08,9.46,0.02,-0.03,0.01
1.60,-1.35,9.66,0.01,-0.01,0.01
1.52,-0.93,9.92,0.02,0.01,0.01
1.52,-1.01,10.29,0.04,0.01,0.03
1.52,-1.01,10.35,0.09,-0.02,0.04
1.56,-1.42,10.07,0.12,-0.04,0.06
1.32,-1.68,9.87,0.13,-0.04,0.04
1.37,-1.20,9.39,0.14,-0.03,0.04
1.38,-1.67,9.46,0.13,-0.02,0.04
1.36,-1.54,9.44,0.11,-0.02,0.02
1.16,-1.64,9.27,0.09,0.00,0.02
0.97,-1.75,9.46,0.09,0.02,0.00
0.96,-1.49,9.40,0.08,0.03,-0.01
0.97,-1.23,9.39,0.07,0.03,-0.01
0.88,-0.87,9.45,0.05,0.03,-0.00
0.66,-1.24,9.45,0.01,0.03,0.00
0.52,-1.42,9.50,-0.02,0.02,-0.01
0.63,-1.89,9.49,-0.02,0.01,-0.03
0.82,-1.79,9.18,-0.01,0.02,-0.06
0.81,-1.47,9.14,0.00,0.03,-0.07
0.72,-1.36,9.12,0.01,0.04,-0.08
0.65,-0.74,9.05,0.02,0.05,-0.07
0.72,-0.33,9.11,0.01,0.06,-0.05
0.86,-0.20,9.07,-0.03,0.08,-0.03
0.77,-0.42,9.24,-0.05,0.09,-0.02
0.65,-0.36,9.31,-0.04,0.10,0.01
0.71,-0.57,9.45,-0.01,0.09,0.03
0.78,-0.96,9.56,0.01,0.09,0.03
0.67,-0.98,9.83,0.02,0.09,0.03
0.49,-1.25,10.07,0.01,0.09,0.03
0.42,-1.21,10.17,0.01,0.09,0.03
0.51,-1.32,10.48,-0.00,0.07,0.02
0.62,-1.05,10.38,0.01,0.05,0.02
0.72,-1.11,10.44,0.02,0.03,0.02
0.73,-1.02,10.58,0.04,0.01,0.01
0.47,-0.72,10.98,0.05,-0.01,0.01
0.31,-0.41,11.38,0.03,-0.05,0.02
0.31,-0.42,11.72,0.01,-0.09,0.03
0.41,-0.03,11.85,-0.01,-0.15,0.05
0.39,-0.46,11.67,-0.03,-0.20,0.08
0.37,-0.87,11.09,-0.04,-0.24,0.09
0.43,-1.36,10.84,-0.02,-0.26,0.08
0.71,-1.25,10.51,-0.01,-0.28,0.06
0.79,-1.14,10.50,0.00,-0.29,0.06
0.78,-0.96,10.33,0.01,-0.31,0.06
0.77,-1.20,10.29,0.03,-0.32,0.06
0.73,-1.19,10.29,0.03,-0.34,0.05
0.92,-1.22,10.30,0.03,-0.36,0.04
0.86,-0.90,10.02,0.03,-0.38,0.04
0.73,-1.18,10.19,0.00,-0.39,0.03
0.77,-1.07,10.07,-0.02,-0.40,0.03
0.82,-1.54,9.88,-0.01,-0.41,0.02
1.04,-1.38,9.73,0.01,-0.41,0.00
1.22,-1.27,9.71,0.03,-0.41,0.00
1.14,-1.20,9.56,0.03,-0.40,-0.01
1.14,-1.03,9.66,0.02,-0.40,-0.01
1.31,-0.98,9.69,0.01,-0.41,-0.01
1.26,-0.78,9.82,0.00,-0.40,-0.00
1.30,-1.03,9.71,-0.00,-0.41,0.00
1.35,-0.93,9.79,-0.02,-0.41,0.00
1.50,-0.68,9.66,-0.04,-0.41,0.01
1.67,-1.23,9.80,-0.03,-0.41,0.01
1.66,-0.88,9.96,-0.03,-0.42,0.00
1.50,-1.60,9.92,0.00,-0.44,0.01
1.52,-1.26,9.91,0.03,-0.45,-0.01
1.64,-1.10,10.08,0.03,-0.46,-0.00
1.93,-1.18,9.91,0.01,-0.46,-0.01
2.02,-1.28,9.85,0.00,-0.47,-0.02
2.00,-1.56,9.93,0.02,-0.47,-0.03
2.05,-1.42,9.87,0.03,-0.49,-0.04
2.15,-1.15,10.03,0.03,-0.50,-0.05
2.23,-1.09,10.26,0.01,-0.52,-0.05
2.17,-1.24,10.44,-0.00,-0.54,-0.06
2.03,-1.35,10.37,0.01,-0.57,-0.06
2.15,-1.49,9.94,0.02,-0.59,-0.07
2.35,-1.29,9.82,0.04,-0.60,-0.07
2.44,-1.40,9.62,0.05,-0.62,-0.09
2.46,-1.04,9.47,0.05,-0.61,-0.10
2.60,-0.85,9.35,0.04,-0.61,-0.09
2.52,-0.65,9.26,0.03,-0.60,-0.08
2.49,-1.13,9.38,0.03,-0.61,-0.07
2.82,-1.12,9.05,0.04,-0.60,-0.09
3.00,-1.26,8.94,0.06,-0.61,-0.09
3.00,-1.04,8.98,0.05,-0.60,-0.11
2.98,-0.93,8.87,0.01,-0.60,-0.11
3.15,-0.83,8.62,-0.01,-0.59,-0.11
3.25,-0.81,8.69,-0.01,-0.58,-0.10
3.35,-0.96,8.66,0.03,-0.56,-0.10
3.32,-0.79,8.68,0.04,-0.54,-0.09
3.43,-0.68,8.82,0.04,-0.53,-0.08
3.55,-0.70,8.84,0.01,-0.53,-0.08
3.60,-0.98,9.03,-0.01,-0.54,-0.09
3.55,-1.08,8.72,-0.01,-0.54,-0.09
3.59,-0.91,8.50,-0.00,-0.53,-0.11
3.71,-0.55,8.35,-0.00,-0.51,-0.09
3.93,-0.42,8.49,-0.01,-0.49,-0.07
4.07,-0.76,8.71,-0.03,-0.48,-0.07
4.03,-1.02,8.61,-0.04,-0.48,-0.07
3.95,-1.07,8.49,-0.03,-0.48,-0.08
3.99,-0.90,8.40,-0.04,-0.48,-0.09
4.12,-0.85,8.38,-0.03,-0.46,-0.09
4.28,-0.61,8.37,-0.01,-0.45,-0.08
4.18,-0.90,8.46,0.01,-0.44,-0.08
4.42,-0.68,8.50,0.01,-0.44,-0.08
4.58,-0.65,8.60,-0.02,-0.44,-0.07
4.77,-0.49,8.42,-0.05,-0.45,-0.06
4.67,-0.90,8.36,-0.06,-0.45,-0.06
4.55,-1.13,8.28,-0.05,-0.44,-0.08
4.55,-1.03,8.43,-0.03,-0.43,-0.07
4.68,-1.05,8.42,-0.02,-0.42,-0.09
4.91,-0.46,8.54,-0.02,-0.42,-0.08
4.83,-0.74,8.47,-0.03,-0.43,-0.07
4.88,-0.57,8.36,-0.04,-0.43,-0.07
4.85,-0.98,8.28,-0.05,-0.44,-0.06
5.02,-1.19,8.15,-0.03,-0.43,-0.08
5.15,-1.04,8.15,-0.01,-0.42,-0.08
5.02,-0.98,8.41,-0.00,-0.41,-0.10
5.07,-0.53,8.40,0.01,-0.41,-0.08
5.17,-0.71,8.48,0.01,-0.42,-0.07
5.43,-0.79,8.23,0.01,-0.42,-0.07
5.39,-1.01,8.46,0.01,-0.42,-0.08
5.31,-1.00,8.56,0.01,-0.43,-0.09
5.25,-0.84,8.66,0.01,-0.43,-0.09
5.33,-0.69,8.65,0.02,-0.45,-0.09
5.50,-0.72,8.37,0.03,-0.45,-0.08
5.60,-0.69,8.54,0.04,-0.46,-0.08
5.72,-1.07,8.55,0.06,-0.47,-0.08
5.66,-1.01,8.57,0.07,-0.48,-0.10
5.52,-0.63,8.32,0.06,-0.49,-0.10
5.77,-0.63,8.17,0.05,-0.49,-0.10
5.93,-0.37,8.07,0.05,-0.50,-0.10
5.93,-0.61,8.18,0.05,-0.51,-0.09
5.89,-0.47,8.25,0.04,-0.52,-0.09
5.96,-0.23,7.91,0.03,-0.53,-0.08
6.07,-0.29,7.91,0.01,-0.54,-0.07
6.18,-0.14,7.63,-0.01,-0.54,-0.05
6.15,-0.55,7.68,-0.02,-0.54,-0.05
6.20,-1.01,7.73,-0.02,-0.55,-0.06
6.28,-0.62,7.71,-0.01,-0.54,-0.06
6.32,-0.69,7.88,0.02,-0.55,-0.06
6.36,-0.18,7.86,0.02,-0.55,-0.06
6.22,-0.19,7.93,-0.01,-0.56,-0.04
6.43,-0.40,8.01,-0.03,-0.57,-0.03
6.58,-0.25,7.79,-0.06,-0.60,-0.03
6.66,-0.57,7.52,-0.08,-0.61,-0.02
6.67,-0.97,7.31,-0.09,-0.61,-0.03
6.56,-1.02,7.13,-0.07,-0.62,-0.05
6.67,-0.91,7.08,-0.02,-0.61,-0.06
6.86,-0.69,6.99,0.02,-0.60,-0.06
6.94,-0.59,6.97,0.03,-0.60,-0.05
6.97,-0.80,6.86,0.02,-0.60,-0.05
6.77,-0.80,6.91,0.02,-0.60,-0.06
7.01,-0.98,6.67,0.02,-0.59,-0.07
7.05,-0.83,6.85,0.04,-0.60,-0.08
7.14,-0.53,6.77,0.04,-0.60,-0.07
6.93,-0.69,6.60,0.03,-0.60,-0.07
7.05,-0.62,6.34,0.02,-0.60,-0.07
7.31,-1.01,6.12,0.02,-0.59,-0.08
7.47,-0.48,5.97,0.03,-0.57,-0.08
7.42,-0.64,5.95,0.04,-0.55,-0.07
7.26,-0.39,6.17,0.03,-0.54,-0.08
7.39,-0.47,6.06,0.02,-0.53,-0.07
7.51,-0.35,6.27,0.00,-0.54,-0.07
7.60,-0.32,6.06,-0.01,-0.53,-0.07
7.66,-0.35,6.06,-0.03,-0.52,-0.06
7.47,-0.11,6.24,-0.04,-0.51,-0.05
7.70,-0.39,6.16,-0.04,-0.52,-0.03
7.75,-0.69,6.12,-0.03,-0.52,-0.04
7.93,-0.63,5.77,-0.04,-0.53,-0.05
7.90,-0.64,5.79,-0.06,-0.52,-0.04
7.94,-0.20,5.58,-0.08,-0.52,-0.06
8.00,-0.55,5.41,-0.10,-0.51,-0.04
8.09,-0.58,5.50,-0.08,-0.49,-0.06
8.19,-0.20,5.53,-0.06,-0.48,-0.04
8.25,-0.67,5.56,-0.06,-0.49,-0.04
8.09,-0.32,5.35,-0.06,-0.49,-0.06
8.18,-0.08,5.26,-0.08,-0.49,-0.03
8.24,-0.64,5.19,-0.09,-0.48,-0.04
8.37,-0.41,5.34,-0.07,-0.47,-0.04
8.36,-0.53,5.26,-0.07,-0.47,-0.03
8.36,-0.74,5.22,-0.07,-0.47,-0.04
8.49,-0.43,5.16,-0.07,-0.47,-0.04
8.54,-0.65,4.95,-0.07,-0.48,-0.04
8.57,-0.74,4.96,-0.04,-0.45,-0.05
8.35,-0.91,4.95,-0.03,-0.47,-0.05
8.43,-0.74,4.83,-0.01,-0.48,-0.09
8.58,-0.83,4.60,-0.02,-0.45,-0.09
8.70,-0.57,4.72,-0.03,-0.44,-0.08
8.62,-0.71,4.57,-0.04,-0.43,-0.10
8.51,-0.61,4.51,-0.05,-0.41,-0.10
8.57,-0.59,3.98,-0.05,-0.41,-0.10
9.01,-1.26,3.77,-0.03,-0.38,-0.10
9.19,-1.00,4.22,-0.01,-0.36,-0.15
9.11,-0.54,4.65,0.00,-0.37,-0.15
8.91,-0.38,4.60,-0.01,-0.37,-0.16
8.81,0.12,4.49,-0.05,-0.37,-0.14
8.89,0.36,4.28,-0.08,-0.36,-0.12
9.05,0.10,4.48,-0.08,-0.35,-0.10
9.07,0.06,4.39,-0.09,-0.35,-0.08
8.86,-0.46,4.64,-0.08,-0.35,-0.08
8.86,0.03,4.41,-0.04,-0.36,-0.08
9.08,-0.11,4.42,-0.02,-0.37,-0.07
9.18,-0.36,4.55,-0.02,-0.38,-0.08
9.32,-0.03,4.32,-0.03,-0.39,-0.07
9.17,-0.25,4.19,-0.05,-0.39,-0.07
9.15,0.06,4.00,-0.06,-0.38,-0.05
9.17,-0.22,4.08,-0.07,-0.37,-0.04
9.16,-0.78,3.89,-0.06,-0.37,-0.06
9.27,-0.44,3.79,-0.04,-0.37,-0.06
9.30,-0.13,4.11,-0.05,-0.38,-0.07
9.29,-0.00,3.99,-0.08,-0.39,-0.05
9.27,-0.31,3.75,-0.09,-0.39,-0.06
9.17,0.08,3.57,-0.07,-0.39,-0.05
9.11,-0.45,3.38,-0.06,-0.40,-0.04
9.27,-0.48,3.04,-0.04,-0.39,-0.04
9.49,-0.14,2.80,-0.03,-0.37,-0.05
9.55,0.31,3.00,-0.04,-0.34,-0.04
9.49,-0.36,2.68,-0.06,-0.33,-0.02
9.60,-0.67,2.80,-0.07,-0.33,-0.01
9.01,-0.33,2.95,-0.03,-0.33,-0.01
9.41,0.29,2.82,0.00,-0.29,-0.07
9.60,-1.44,2.00,0.06,-0.38,-0.04
9.96,-0.67,0.23,0.05,-0.27,-0.05
9.60,-0.79,1.36,0.05,-0.12,-0.06
9.68,-0.48,1.68,0.06,-0.08,-0.08
9.70,0.23,1.88,0.02,-0.05,-0.08
9.78,0.49,2.18,-0.01,-0.03,-0.04
9.60,0.25,2.27,-0.03,0.00,-0.03
9.47,0.15,2.34,-0.05,0.02,-0.02
9.58,0.04,2.52,-0.05,0.04,-0.01
9.68,-0.03,2.96,-0.06,0.06,-0.00
9.69,0.05,3.36,-0.06,0.06,0.01
9.52,-0.10,3.44,-0.07,0.05,0.01
9.46,-0.11,3.46,-0.07,0.04,0.02
9.49,-0.28,3.35,-0.06,0.04,0.02
9.72,-0.31,3.25,-0.04,0.04,0.02
9.73,-0.54,3.43,-0.01,0.02,0.01
9.59,-0.44,3.55,0.01,0.02,-0.00
9.49,-0.19,3.47,0.01,0.01,-0.01
9.52,-0.02,3.27,0.01,0.01,0.00
9.74,-0.09,3.32,0.01,0.01,0.01
9.74,-0.23,3.35,0.01,0.01,0.01
9.64,-0.47,3.18,0.01,0.01,0.00
9.70,-0.09,3.32,0.01,0.01,0.00
9.76,-0.12,3.11,0.00,0.01,0.01
9.67,-0.08,3.36,-0.01,0.01,0.02
9.56,-0.27,3.31,-0.01,0.02,0.02
9.55,-0.48,3.43,0.00,0.01,0.01
9.69,-0.38,3.56,0.01,0.01,0.01
9.84,-0.14,3.31,0.00,0.00,0.00
9.80,-0.14,3.27,-0.00,0.00,0.01
9.61,-0.08,3.25,-0.01,0.01,0.01
9.49,-0.02,3.34,-0.02,0.01,0.03
9.55,-0.28,3.58,-0.02,0.01,0.02
9.70,-0.19,3.44,-0.03,0.01,0.02
9.65,-0.21,3.37,-0.03,0.01,0.03
9.47,-0.24,3.43,-0.03,0.01,0.03
9.37,-0.10,3.73,-0.03,0.00,0.04
9.50,-0.29,3.83,-0.03,-0.01,0.05
9.50,-0.71,3.93,-0.01,-0.01,0.04
9.49,-0.70,4.13,-0.01,-0.03,0.03
9.41,-0.78,4.05,-0.00,-0.05,0.02
9.50,-0.53,3.91,-0.00,-0.05,0.01
9.33,-0.27,4.28,0.01,-0.07,0.01
9.45,-0.63,4.21,0.01,-0.08,0.01
9.47,-0.51,4.42,0.02,-0.10,-0.00
9.34,-0.11,4.65,0.02,-0.13,-0.00
9.29,0.06,4.55,-0.01,-0.16,0.01
9.42,0.10,4.31,-0.04,-0.19,0.03
9.43,-0.58,4.22,-0.03,-0.21,0.03
9.53,-0.42,3.99,-0.01,-0.23,0.02
9.52,-0.52,3.52,-0.00,-0.23,0.02
9.65,-0.42,3.34,-0.00,-0.24,0.01
9.69,0.17,3.32,-0.03,-0.23,0.02
9.60,0.13,3.11,-0.05,-0.22,0.04
9.42,-0.26,2.92,-0.06,-0.22,0.05
9.28,-0.58,2.78,-0.04,-0.22,0.04
9.55,-0.61,2.43,-0.04,-0.21,0.03
9.81,-0.20,1.81,-0.06,-0.20,0.03
9.76,-0.30,1.19,-0.08,-0.15,0.03
9.68,-0.62,0.86,-0.07,-0.09,0.03
9.54,-1.21,1.15,-0.04,-0.03,0.01
9.64,-0.64,1.24,0.00,0.02,-0.00
9.68,-0.35,1.38,0.01,0.06,-0.00
9.51,-0.15,1.50,0.01,0.10,0.00
9.38,-0.33,1.90,0.00,0.13,0.02
9.36,-0.54,2.08,0.02,0.16,0.01
9.48,-0.52,2.17,0.03,0.18,0.01
9.79,-0.44,1.91,0.04,0.20,0.00
9.70,-0.29,2.01,0.03,0.23,-0.01
9.57,0.10,2.07,-0.00,0.26,0.01
9.62,-0.09,2.35,-0.03,0.28,0.03
9.67,-0.34,2.45,-0.04,0.30,0.01
9.63,-0.08,2.44,-0.04,0.31,0.03
9.56,-0.18,2.16,-0.06,0.34,0.03
9.40,0.02,2.30,-0.06,0.36,0.04
9.36,0.14,2.28,-0.05,0.39,0.06
9.43,-0.04,2.61,-0.05,0.41,0.07
9.45,-0.07,2.54,-0.07,0.44,0.08
9.37,-0.67,2.60,-0.08,0.46,0.07
9.34,-0.03,2.80,-0.07,0.48,0.07
9.42,-0.02,2.64,-0.07,0.50,0.09
9.36,-0.30,2.68,-0.08,0.53,0.09
9.27,-0.24,3.00,-0.08,0.55,0.10
9.02,-0.64,3.45,-0.09,0.58,0.10
8.98,-0.47,3.60,-0.08,0.57,0.10
9.08,-0.53,3.72,-0.06,0.57,0.10
8.98,-0.45,3.70,-0.04,0.58,0.10
8.86,-0.45,3.55,-0.03,0.59,0.11
8.93,-0.42,3.79,-0.03,0.61,0.11
8.88,-0.40,4.09,-0.03,0.62,0.13
8.89,-0.26,4.49,-0.05,0.62,0.13
8.93,-0.03,4.57,-0.07,0.62,0.15
8.69,-0.10,4.59,-0.08,0.62,0.17
8.49,-0.64,4.74,-0.08,0.62,0.19
8.64,-1.08,4.85,-0.05,0.61,0.18
8.72,-1.32,4.98,-0.02,0.61,0.16
8.76,-1.01,5.17,-0.00,0.60,0.15
8.47,-0.91,5.35,0.01,0.59,0.15
8.37,-0.96,5.24,0.03,0.59,0.15
8.17,-0.96,5.49,0.05,0.59,0.14
8.42,-1.18,5.68,0.06,0.57,0.14
8.55,-0.93,5.53,0.06,0.55,0.12
8.34,-0.92,5.61,0.05,0.56,0.13
8.20,-0.79,5.66,0.03,0.54,0.12
8.24,-0.62,5.75,0.02,0.54,0.14
8.23,-1.07,5.94,0.03,0.54,0.13
8.21,-1.05,6.33,0.04,0.53,0.12
8.15,-0.94,6.36,0.04,0.50,0.12
8.14,-0.77,6.22,0.02,0.48,0.12
8.01,-0.70,6.28,0.01,0.47,0.13
8.08,-0.66,6.48,-0.00,0.45,0.14
7.85,-0.97,6.69,0.00,0.44,0.14
7.69,-1.10,6.91,0.00,0.42,0.14
7.78,-1.17,6.89,0.02,0.38,0.14
7.90,-1.09,6.59,0.01,0.36,0.13
7.93,-1.24,6.41,0.01,0.36,0.14
7.82,-1.23,6.31,0.01,0.35,0.13
7.74,-1.61,6.52,0.01,0.35,0.12
7.66,-1.40,6.66,0.01,0.33,0.11
7.69,-1.56,6.55,0.02,0.32,0.10
7.64,-1.51,6.22,0.03,0.31,0.08
7.65,-1.21,6.33,0.04,0.32,0.08
7.60,-1.35,6.32,0.02,0.32,0.08
7.67,-1.27,6.39,0.01,0.32,0.07
7.56,-1.23,6.53,0.02,0.32,0.07
7.44,-1.20,6.76,0.03,0.31,0.08
